,"X,Y,Z,Sequence"
135,"-0.36758583784103394,5.753939151763916,7.841759204864502,135"
136,"-0.36758583784103394,5.753939151763916,7.841759204864502,136"
137,"-0.36758583784103394,5.753939151763916,7.841759204864502,137"
138,"-0.36758583784103394,5.753939151763916,7.841759204864502,138"
139,"-0.36758583784103394,5.753939151763916,7.841759204864502,139"
140,"-0.36758583784103394,5.753939151763916,7.841759204864502,140"
141,"-0.36758583784103394,5.753939151763916,7.841759204864502,141"
142,"-0.36758583784103394,5.753939151763916,7.841759204864502,142"
143,"-0.36758583784103394,5.753939151763916,7.841759204864502,143"
144,"-0.36758583784103394,5.753939151763916,7.841759204864502,144"
145,"-0.36758583784103394,5.753939151763916,7.841759204864502,145"
146,"-0.36758583784103394,5.753939151763916,7.841759204864502,146"
147,"-0.36758583784103394,5.753939151763916,7.841759204864502,147"
148,"-0.36758583784103394,5.753939151763916,7.841759204864502,148"
149,"-0.36758583784103394,5.753939151763916,7.841759204864502,149"
150,"-0.36758583784103394,5.753939151763916,7.841759204864502,150"
151,"-0.36758583784103394,5.753939151763916,7.841759204864502,151"
152,"-0.36758583784103394,5.753939151763916,7.841759204864502,152"
153,"-0.36758583784103394,5.753939151763916,7.841759204864502,153"
154,"-0.36758583784103394,5.753939151763916,7.841759204864502,154"
155,"-0.36758583784103394,5.753939151763916,7.841759204864502,155"
156,"-0.36758583784103394,5.753939151763916,7.841759204864502,156"
157,"-0.36758583784103394,5.753939151763916,7.841759204864502,157"
158,"-0.36758583784103394,5.753939151763916,7.841759204864502,158"
159,"-0.36758583784103394,5.753939151763916,7.841759204864502,159"
160,"-0.36758583784103394,5.753939151763916,7.841759204864502,160"
161,"-0.36758583784103394,5.753939151763916,7.841759204864502,161"
162,"-0.36758583784103394,5.753939151763916,7.841759204864502,162"
163,"-0.36758583784103394,5.753939151763916,7.841759204864502,163"
164,"-0.36758583784103394,5.753939151763916,7.841759204864502,164"
165,"-0.36758583784103394,5.753939151763916,7.841759204864502,165"
166,"-0.36758583784103394,5.753939151763916,7.841759204864502,166"
167,"-0.36758583784103394,5.753939151763916,7.841759204864502,167"
168,"-0.36758583784103394,5.753939151763916,7.841759204864502,168"
169,"-0.36758583784103394,5.753939151763916,7.841759204864502,169"
170,"-0.36758583784103394,5.753939151763916,7.841759204864502,170"
171,"-0.36758583784103394,5.753939151763916,7.841759204864502,171"
172,"-0.36758583784103394,5.753939151763916,7.841759204864502,172"
173,"-0.36758583784103394,5.753939151763916,7.841759204864502,173"
174,"-0.36758583784103394,5.753939151763916,7.841759204864502,174"
175,"-0.36758583784103394,5.753939151763916,7.841759204864502,175"
176,"-0.36758583784103394,5.753939151763916,7.841759204864502,176"
177,"-0.36758583784103394,5.753939151763916,7.841759204864502,177"
178,"-0.36758583784103394,5.753939151763916,7.841759204864502,178"
179,"-0.36758583784103394,5.753939151763916,7.841759204864502,179"
180,"-0.36758583784103394,5.753939151763916,7.841759204864502,180"
181,"-0.36758583784103394,5.753939151763916,7.841759204864502,181"
182,"-0.36758583784103394,5.753939151763916,7.841759204864502,182"
183,"-0.36758583784103394,5.753939151763916,7.841759204864502,183"
184,"-0.36758583784103394,5.753939151763916,7.841759204864502,184"
185,"-0.36758583784103394,5.753939151763916,7.841759204864502,185"
186,"-0.36758583784103394,5.753939151763916,7.841759204864502,186"
187,"-0.36758583784103394,5.753939151763916,7.841759204864502,187"
188,"-0.36758583784103394,5.753939151763916,7.841759204864502,188"
189,"-0.36758583784103394,5.753939151763916,7.841759204864502,189"
190,"-0.36758583784103394,5.753939151763916,7.841759204864502,190"
191,"-0.36758583784103394,5.753939151763916,7.841759204864502,191"
192,"-0.36758583784103394,5.753939151763916,7.841759204864502,192"
193,"-0.36758583784103394,5.753939151763916,7.841759204864502,193"
194,"-0.36758583784103394,5.753939151763916,7.841759204864502,194"
195,"-0.36758583784103394,5.753939151763916,7.841759204864502,195"
196,"-0.36758583784103394,5.753939151763916,7.841759204864502,196"
197,"-0.36758583784103394,5.753939151763916,7.841759204864502,197"
198,"-0.36758583784103394,5.753939151763916,7.841759204864502,198"
199,"-0.36758583784103394,5.753939151763916,7.841759204864502,199"
200,"-0.36758583784103394,5.753939151763916,7.841759204864502,200"
201,"-0.36758583784103394,5.753939151763916,7.841759204864502,201"
202,"-0.36758583784103394,5.753939151763916,7.841759204864502,202"
203,"-0.36758583784103394,5.753939151763916,7.841759204864502,203"
204,"-0.36758583784103394,5.753939151763916,7.841759204864502,204"
205,"-0.36758583784103394,5.753939151763916,7.841759204864502,205"
206,"-0.36758583784103394,5.753939151763916,7.841759204864502,206"
207,"-0.36758583784103394,5.753939151763916,7.841759204864502,207"
208,"-0.36758583784103394,5.753939151763916,7.841759204864502,208"
209,"-0.36758583784103394,5.753939151763916,7.841759204864502,209"
210,"-0.36758583784103394,5.753939151763916,7.841759204864502,210"
211,"-0.36758583784103394,5.753939151763916,7.841759204864502,211"
212,"-0.36758583784103394,5.753939151763916,7.841759204864502,212"
213,"-0.36758583784103394,5.753939151763916,7.841759204864502,213"
214,"-0.36758583784103394,5.753939151763916,7.841759204864502,214"
215,"-0.36758583784103394,5.753939151763916,7.841759204864502,215"
216,"-0.36758583784103394,5.753939151763916,7.841759204864502,216"
217,"-0.36758583784103394,5.753939151763916,7.841759204864502,217"
218,"-0.36758583784103394,5.753939151763916,7.841759204864502,218"
219,"-0.36758583784103394,5.753939151763916,7.841759204864502,219"
220,"-0.36758583784103394,5.753939151763916,7.841759204864502,220"
221,"-0.36758583784103394,5.753939151763916,7.841759204864502,221"
222,"-0.36758583784103394,5.753939151763916,7.841759204864502,222"
223,"-0.36758583784103394,5.753939151763916,7.841759204864502,223"
224,"-0.36758583784103394,5.753939151763916,7.841759204864502,224"
225,"-0.36758583784103394,5.753939151763916,7.841759204864502,225"
226,"-0.36758583784103394,5.753939151763916,7.841759204864502,226"
227,"-0.36758583784103394,5.753939151763916,7.841759204864502,227"
228,"-0.36758583784103394,5.753939151763916,7.841759204864502,228"
229,"-0.36758583784103394,5.753939151763916,7.841759204864502,229"
230,"-0.36758583784103394,5.753939151763916,7.841759204864502,230"
