,"X,Y,Z,Sequence"
7199,"-0.36758583784103394,5.753939151763916,7.841759204864502,7199"
7200,"-0.36758583784103394,5.753939151763916,7.841759204864502,7200"
7201,"-0.36758583784103394,5.753939151763916,7.841759204864502,7201"
7202,"-0.36758583784103394,5.753939151763916,7.841759204864502,7202"
7203,"-0.36758583784103394,5.753939151763916,7.841759204864502,7203"
7204,"-0.36758583784103394,5.753939151763916,7.841759204864502,7204"
7205,"-0.36758583784103394,5.753939151763916,7.841759204864502,7205"
7206,"-0.36758583784103394,5.753939151763916,7.841759204864502,7206"
7207,"-0.36758583784103394,5.753939151763916,7.841759204864502,7207"
7208,"-0.36758583784103394,5.753939151763916,7.841759204864502,7208"
7209,"-0.36758583784103394,5.753939151763916,7.841759204864502,7209"
7210,"-0.36758583784103394,5.753939151763916,7.841759204864502,7210"
7211,"-0.36758583784103394,5.753939151763916,7.841759204864502,7211"
7212,"-0.36758583784103394,5.753939151763916,7.841759204864502,7212"
7213,"-0.36758583784103394,5.753939151763916,7.841759204864502,7213"
7214,"-0.36758583784103394,5.753939151763916,7.841759204864502,7214"
7215,"-0.36758583784103394,5.753939151763916,7.841759204864502,7215"
7216,"-0.36758583784103394,5.753939151763916,7.841759204864502,7216"
7217,"-0.36758583784103394,5.753939151763916,7.841759204864502,7217"
7218,"-0.36758583784103394,5.753939151763916,7.841759204864502,7218"
7219,"-0.36758583784103394,5.753939151763916,7.841759204864502,7219"
7220,"-0.36758583784103394,5.753939151763916,7.841759204864502,7220"
7221,"-0.36758583784103394,5.753939151763916,7.841759204864502,7221"
7222,"-0.36758583784103394,5.753939151763916,7.841759204864502,7222"
7223,"-0.36758583784103394,5.753939151763916,7.841759204864502,7223"
7224,"-0.36758583784103394,5.753939151763916,7.841759204864502,7224"
7225,"-0.36758583784103394,5.753939151763916,7.841759204864502,7225"
7226,"-0.36758583784103394,5.753939151763916,7.841759204864502,7226"
7227,"-0.36758583784103394,5.753939151763916,7.841759204864502,7227"
7228,"-0.36758583784103394,5.753939151763916,7.841759204864502,7228"
7229,"-0.36758583784103394,5.753939151763916,7.841759204864502,7229"
7230,"-0.36758583784103394,5.753939151763916,7.841759204864502,7230"
7231,"-0.36758583784103394,5.753939151763916,7.841759204864502,7231"
7232,"-0.36758583784103394,5.753939151763916,7.841759204864502,7232"
7233,"-0.36758583784103394,5.753939151763916,7.841759204864502,7233"
7234,"-0.36758583784103394,5.753939151763916,7.841759204864502,7234"
7235,"-0.36758583784103394,5.753939151763916,7.841759204864502,7235"
7236,"-0.36758583784103394,5.753939151763916,7.841759204864502,7236"
7237,"-0.36758583784103394,5.753939151763916,7.841759204864502,7237"
7238,"-0.36758583784103394,5.753939151763916,7.841759204864502,7238"
7239,"-0.36758583784103394,5.753939151763916,7.841759204864502,7239"
7240,"-0.36758583784103394,5.753939151763916,7.841759204864502,7240"
7241,"-0.36758583784103394,5.753939151763916,7.841759204864502,7241"
7242,"-0.36758583784103394,5.753939151763916,7.841759204864502,7242"
7243,"-0.36758583784103394,5.753939151763916,7.841759204864502,7243"
7244,"-0.36758583784103394,5.753939151763916,7.841759204864502,7244"
7245,"-0.36758583784103394,5.753939151763916,7.841759204864502,7245"
7246,"-0.36758583784103394,5.753939151763916,7.841759204864502,7246"
7247,"-0.36758583784103394,5.753939151763916,7.841759204864502,7247"
7248,"-0.36758583784103394,5.753939151763916,7.841759204864502,7248"
7249,"-0.36758583784103394,5.753939151763916,7.841759204864502,7249"
7250,"-0.36758583784103394,5.753939151763916,7.841759204864502,7250"
7251,"-0.36758583784103394,5.753939151763916,7.841759204864502,7251"
7252,"-0.36758583784103394,5.753939151763916,7.841759204864502,7252"
7253,"-0.36758583784103394,5.753939151763916,7.841759204864502,7253"
7254,"-0.36758583784103394,5.753939151763916,7.841759204864502,7254"
7255,"-0.36758583784103394,5.753939151763916,7.841759204864502,7255"
7256,"-0.36758583784103394,5.753939151763916,7.841759204864502,7256"
7257,"-0.36758583784103394,5.753939151763916,7.841759204864502,7257"
7258,"-0.36758583784103394,5.753939151763916,7.841759204864502,7258"
7259,"-0.36758583784103394,5.753939151763916,7.841759204864502,7259"
7260,"-0.36758583784103394,5.753939151763916,7.841759204864502,7260"
7261,"-0.36758583784103394,5.753939151763916,7.841759204864502,7261"
7262,"-0.36758583784103394,5.753939151763916,7.841759204864502,7262"
7263,"-0.36758583784103394,5.753939151763916,7.841759204864502,7263"
7264,"-0.36758583784103394,5.753939151763916,7.841759204864502,7264"
7265,"-0.36758583784103394,5.753939151763916,7.841759204864502,7265"
7266,"-0.36758583784103394,5.753939151763916,7.841759204864502,7266"
7267,"-0.36758583784103394,5.753939151763916,7.841759204864502,7267"
7268,"-0.36758583784103394,5.753939151763916,7.841759204864502,7268"
7269,"-0.36758583784103394,5.753939151763916,7.841759204864502,7269"
7270,"-0.36758583784103394,5.753939151763916,7.841759204864502,7270"
7271,"-0.36758583784103394,5.753939151763916,7.841759204864502,7271"
7272,"-0.36758583784103394,5.753939151763916,7.841759204864502,7272"
7273,"-0.36758583784103394,5.753939151763916,7.841759204864502,7273"
7274,"-0.36758583784103394,5.753939151763916,7.841759204864502,7274"
7275,"-0.36758583784103394,5.753939151763916,7.841759204864502,7275"
7276,"-0.36758583784103394,5.753939151763916,7.841759204864502,7276"
7277,"-0.36758583784103394,5.753939151763916,7.841759204864502,7277"
7278,"-0.36758583784103394,5.753939151763916,7.841759204864502,7278"
7279,"-0.36758583784103394,5.753939151763916,7.841759204864502,7279"
7280,"-0.36758583784103394,5.753939151763916,7.841759204864502,7280"
7281,"-0.36758583784103394,5.753939151763916,7.841759204864502,7281"
7282,"-0.36758583784103394,5.753939151763916,7.841759204864502,7282"
7283,"-0.36758583784103394,5.753939151763916,7.841759204864502,7283"
7284,"-0.36758583784103394,5.753939151763916,7.841759204864502,7284"
7285,"-0.36758583784103394,5.753939151763916,7.841759204864502,7285"
7286,"-0.36758583784103394,5.753939151763916,7.841759204864502,7286"
7287,"-0.36758583784103394,5.753939151763916,7.841759204864502,7287"
7288,"-0.36758583784103394,5.753939151763916,7.841759204864502,7288"
7289,"-0.36758583784103394,5.753939151763916,7.841759204864502,7289"
7290,"-0.36758583784103394,5.753939151763916,7.841759204864502,7290"
7291,"-0.36758583784103394,5.753939151763916,7.841759204864502,7291"
7292,"-0.36758583784103394,5.753939151763916,7.841759204864502,7292"
7293,"-0.36758583784103394,5.753939151763916,7.841759204864502,7293"
7294,"-0.36758583784103394,5.753939151763916,7.841759204864502,7294"
7295,"-0.36758583784103394,5.753939151763916,7.841759204864502,7295"
7296,"-0.36758583784103394,5.753939151763916,7.841759204864502,7296"
7297,"-0.36758583784103394,5.753939151763916,7.841759204864502,7297"
7298,"-0.36758583784103394,5.753939151763916,7.841759204864502,7298"
7299,"-0.36758583784103394,5.753939151763916,7.841759204864502,7299"
7300,"-0.36758583784103394,5.753939151763916,7.841759204864502,7300"
7301,"-0.36758583784103394,5.753939151763916,7.841759204864502,7301"
7302,"-0.36758583784103394,5.753939151763916,7.841759204864502,7302"
7303,"-0.36758583784103394,5.753939151763916,7.841759204864502,7303"
7304,"-0.36758583784103394,5.753939151763916,7.841759204864502,7304"
7305,"-0.36758583784103394,5.753939151763916,7.841759204864502,7305"
7306,"-0.36758583784103394,5.753939151763916,7.841759204864502,7306"
7307,"-0.36758583784103394,5.753939151763916,7.841759204864502,7307"
7308,"-0.36758583784103394,5.753939151763916,7.841759204864502,7308"
7309,"-0.36758583784103394,5.753939151763916,7.841759204864502,7309"
7310,"-0.36758583784103394,5.753939151763916,7.841759204864502,7310"
7311,"-0.36758583784103394,5.753939151763916,7.841759204864502,7311"
7312,"-0.36758583784103394,5.753939151763916,7.841759204864502,7312"
7313,"-0.36758583784103394,5.753939151763916,7.841759204864502,7313"
7314,"-0.36758583784103394,5.753939151763916,7.841759204864502,7314"
7315,"-0.36758583784103394,5.753939151763916,7.841759204864502,7315"
7316,"-0.36758583784103394,5.753939151763916,7.841759204864502,7316"
7317,"-0.36758583784103394,5.753939151763916,7.841759204864502,7317"
7318,"-0.36758583784103394,5.753939151763916,7.841759204864502,7318"
7319,"-0.36758583784103394,5.753939151763916,7.841759204864502,7319"
7320,"-0.36758583784103394,5.753939151763916,7.841759204864502,7320"
7321,"-0.36758583784103394,5.753939151763916,7.841759204864502,7321"
7322,"-0.36758583784103394,5.753939151763916,7.841759204864502,7322"
7323,"-0.36758583784103394,5.753939151763916,7.841759204864502,7323"
7324,"-0.36758583784103394,5.753939151763916,7.841759204864502,7324"
7325,"-0.36758583784103394,5.753939151763916,7.841759204864502,7325"
7326,"-0.36758583784103394,5.753939151763916,7.841759204864502,7326"
7327,"-0.36758583784103394,5.753939151763916,7.841759204864502,7327"
7328,"-0.36758583784103394,5.753939151763916,7.841759204864502,7328"
7329,"-0.36758583784103394,5.753939151763916,7.841759204864502,7329"
7330,"-0.36758583784103394,5.753939151763916,7.841759204864502,7330"
7331,"-0.36758583784103394,5.753939151763916,7.841759204864502,7331"
7332,"-0.36758583784103394,5.753939151763916,7.841759204864502,7332"
7333,"-0.36758583784103394,5.753939151763916,7.841759204864502,7333"
7334,"-0.36758583784103394,5.753939151763916,7.841759204864502,7334"
7335,"-0.36758583784103394,5.753939151763916,7.841759204864502,7335"
7336,"-0.36758583784103394,5.753939151763916,7.841759204864502,7336"
7337,"-0.36758583784103394,5.753939151763916,7.841759204864502,7337"
7338,"-0.36758583784103394,5.753939151763916,7.841759204864502,7338"
7339,"-0.36758583784103394,5.753939151763916,7.841759204864502,7339"
7340,"-0.36758583784103394,5.753939151763916,7.841759204864502,7340"
7341,"-0.36758583784103394,5.753939151763916,7.841759204864502,7341"
7342,"-0.36758583784103394,5.753939151763916,7.841759204864502,7342"
7343,"-0.36758583784103394,5.753939151763916,7.841759204864502,7343"
7344,"-0.36758583784103394,5.753939151763916,7.841759204864502,7344"
7345,"-0.36758583784103394,5.753939151763916,7.841759204864502,7345"
7346,"-0.36758583784103394,5.753939151763916,7.841759204864502,7346"
7347,"-0.36758583784103394,5.753939151763916,7.841759204864502,7347"
7348,"-0.36758583784103394,5.753939151763916,7.841759204864502,7348"
7349,"-0.36758583784103394,5.753939151763916,7.841759204864502,7349"
7350,"-0.36758583784103394,5.753939151763916,7.841759204864502,7350"
7351,"-0.36758583784103394,5.753939151763916,7.841759204864502,7351"
7352,"-0.36758583784103394,5.753939151763916,7.841759204864502,7352"
7353,"-0.36758583784103394,5.753939151763916,7.841759204864502,7353"
7354,"-0.36758583784103394,5.753939151763916,7.841759204864502,7354"
7355,"-0.36758583784103394,5.753939151763916,7.841759204864502,7355"
7356,"-0.36758583784103394,5.753939151763916,7.841759204864502,7356"
7357,"-0.36758583784103394,5.753939151763916,7.841759204864502,7357"
7358,"-0.36758583784103394,5.753939151763916,7.841759204864502,7358"
7359,"-0.36758583784103394,5.753939151763916,7.841759204864502,7359"
7360,"-0.36758583784103394,5.753939151763916,7.841759204864502,7360"
7361,"-0.36758583784103394,5.753939151763916,7.841759204864502,7361"
7362,"-0.36758583784103394,5.753939151763916,7.841759204864502,7362"
7363,"-0.36758583784103394,5.753939151763916,7.841759204864502,7363"
7364,"-0.36758583784103394,5.753939151763916,7.841759204864502,7364"
7365,"-0.36758583784103394,5.753939151763916,7.841759204864502,7365"
7366,"-0.36758583784103394,5.753939151763916,7.841759204864502,7366"
7367,"-0.36758583784103394,5.753939151763916,7.841759204864502,7367"
7368,"-0.36758583784103394,5.753939151763916,7.841759204864502,7368"
7369,"-0.36758583784103394,5.753939151763916,7.841759204864502,7369"
7370,"-0.36758583784103394,5.753939151763916,7.841759204864502,7370"
7371,"-0.36758583784103394,5.753939151763916,7.841759204864502,7371"
7372,"-0.36758583784103394,5.753939151763916,7.841759204864502,7372"
7373,"-0.36758583784103394,5.753939151763916,7.841759204864502,7373"
7374,"-0.36758583784103394,5.753939151763916,7.841759204864502,7374"
7375,"-0.36758583784103394,5.753939151763916,7.841759204864502,7375"
7376,"-0.36758583784103394,5.753939151763916,7.841759204864502,7376"
7377,"-0.36758583784103394,5.753939151763916,7.841759204864502,7377"
7378,"-0.36758583784103394,5.753939151763916,7.841759204864502,7378"
7379,"-0.36758583784103394,5.753939151763916,7.841759204864502,7379"
7380,"-0.36758583784103394,5.753939151763916,7.841759204864502,7380"
7381,"-0.36758583784103394,5.753939151763916,7.841759204864502,7381"
7382,"-0.36758583784103394,5.753939151763916,7.841759204864502,7382"
7383,"-0.36758583784103394,5.753939151763916,7.841759204864502,7383"
7384,"-0.36758583784103394,5.753939151763916,7.841759204864502,7384"
7385,"-0.36758583784103394,5.753939151763916,7.841759204864502,7385"
7386,"-0.36758583784103394,5.753939151763916,7.841759204864502,7386"
7387,"-0.36758583784103394,5.753939151763916,7.841759204864502,7387"
7388,"-0.36758583784103394,5.753939151763916,7.841759204864502,7388"
7389,"-0.36758583784103394,5.753939151763916,7.841759204864502,7389"
7390,"-0.36758583784103394,5.753939151763916,7.841759204864502,7390"
7391,"-0.36758583784103394,5.753939151763916,7.841759204864502,7391"
7392,"-0.36758583784103394,5.753939151763916,7.841759204864502,7392"
7393,"-0.36758583784103394,5.753939151763916,7.841759204864502,7393"
7394,"-0.36758583784103394,5.753939151763916,7.841759204864502,7394"
7395,"-0.36758583784103394,5.753939151763916,7.841759204864502,7395"
7396,"-0.36758583784103394,5.753939151763916,7.841759204864502,7396"
7397,"-0.36758583784103394,5.753939151763916,7.841759204864502,7397"
7398,"-0.36758583784103394,5.753939151763916,7.841759204864502,7398"
7399,"-0.36758583784103394,5.753939151763916,7.841759204864502,7399"
7400,"-0.36758583784103394,5.753939151763916,7.841759204864502,7400"
7401,"-0.36758583784103394,5.753939151763916,7.841759204864502,7401"
7402,"-0.36758583784103394,5.753939151763916,7.841759204864502,7402"
7403,"-0.36758583784103394,5.753939151763916,7.841759204864502,7403"
7404,"-0.36758583784103394,5.753939151763916,7.841759204864502,7404"
7405,"-0.36758583784103394,5.753939151763916,7.841759204864502,7405"
7406,"-0.36758583784103394,5.753939151763916,7.841759204864502,7406"
7407,"-0.36758583784103394,5.753939151763916,7.841759204864502,7407"
7408,"-0.36758583784103394,5.753939151763916,7.841759204864502,7408"
7409,"-0.36758583784103394,5.753939151763916,7.841759204864502,7409"
7410,"-0.36758583784103394,5.753939151763916,7.841759204864502,7410"
7411,"-0.36758583784103394,5.753939151763916,7.841759204864502,7411"
7412,"-0.36758583784103394,5.753939151763916,7.841759204864502,7412"
7413,"-0.36758583784103394,5.753939151763916,7.841759204864502,7413"
7414,"-0.36758583784103394,5.753939151763916,7.841759204864502,7414"
7415,"-0.36758583784103394,5.753939151763916,7.841759204864502,7415"
7416,"-0.36758583784103394,5.753939151763916,7.841759204864502,7416"
7417,"-0.36758583784103394,5.753939151763916,7.841759204864502,7417"
7418,"-0.36758583784103394,5.753939151763916,7.841759204864502,7418"
7419,"-0.36758583784103394,5.753939151763916,7.841759204864502,7419"
7420,"-0.36758583784103394,5.753939151763916,7.841759204864502,7420"
7421,"-0.36758583784103394,5.753939151763916,7.841759204864502,7421"
7422,"-0.36758583784103394,5.753939151763916,7.841759204864502,7422"
7423,"-0.36758583784103394,5.753939151763916,7.841759204864502,7423"
7424,"-0.36758583784103394,5.753939151763916,7.841759204864502,7424"
7425,"-0.36758583784103394,5.753939151763916,7.841759204864502,7425"
7426,"-0.36758583784103394,5.753939151763916,7.841759204864502,7426"
7427,"-0.36758583784103394,5.753939151763916,7.841759204864502,7427"
7428,"-0.36758583784103394,5.753939151763916,7.841759204864502,7428"
7429,"-0.36758583784103394,5.753939151763916,7.841759204864502,7429"
7430,"-0.36758583784103394,5.753939151763916,7.841759204864502,7430"
7431,"-0.36758583784103394,5.753939151763916,7.841759204864502,7431"
7432,"-0.36758583784103394,5.753939151763916,7.841759204864502,7432"
7433,"-0.36758583784103394,5.753939151763916,7.841759204864502,7433"
7434,"-0.36758583784103394,5.753939151763916,7.841759204864502,7434"
7435,"-0.36758583784103394,5.753939151763916,7.841759204864502,7435"
7436,"-0.36758583784103394,5.753939151763916,7.841759204864502,7436"
7437,"-0.36758583784103394,5.753939151763916,7.841759204864502,7437"
7438,"-0.36758583784103394,5.753939151763916,7.841759204864502,7438"
7439,"-0.36758583784103394,5.753939151763916,7.841759204864502,7439"
7440,"-0.36758583784103394,5.753939151763916,7.841759204864502,7440"
7441,"-0.36758583784103394,5.753939151763916,7.841759204864502,7441"
7442,"-0.36758583784103394,5.753939151763916,7.841759204864502,7442"
7443,"-0.36758583784103394,5.753939151763916,7.841759204864502,7443"
7444,"-0.36758583784103394,5.753939151763916,7.841759204864502,7444"
7445,"-0.36758583784103394,5.753939151763916,7.841759204864502,7445"
7446,"-0.36758583784103394,5.753939151763916,7.841759204864502,7446"
7447,"-0.36758583784103394,5.753939151763916,7.841759204864502,7447"
7448,"-0.36758583784103394,5.753939151763916,7.841759204864502,7448"
7449,"-0.36758583784103394,5.753939151763916,7.841759204864502,7449"
7450,"-0.36758583784103394,5.753939151763916,7.841759204864502,7450"
7451,"-0.36758583784103394,5.753939151763916,7.841759204864502,7451"
7452,"-0.36758583784103394,5.753939151763916,7.841759204864502,7452"
7453,"-0.36758583784103394,5.753939151763916,7.841759204864502,7453"
7454,"-0.36758583784103394,5.753939151763916,7.841759204864502,7454"
7455,"-0.36758583784103394,5.753939151763916,7.841759204864502,7455"
7456,"-0.36758583784103394,5.753939151763916,7.841759204864502,7456"
7457,"-0.36758583784103394,5.753939151763916,7.841759204864502,7457"
7458,"-0.36758583784103394,5.753939151763916,7.841759204864502,7458"
7459,"-0.36758583784103394,5.753939151763916,7.841759204864502,7459"
7460,"-0.36758583784103394,5.753939151763916,7.841759204864502,7460"
7461,"-0.36758583784103394,5.753939151763916,7.841759204864502,7461"
7462,"-0.36758583784103394,5.753939151763916,7.841759204864502,7462"
7463,"-0.36758583784103394,5.753939151763916,7.841759204864502,7463"
7464,"-0.36758583784103394,5.753939151763916,7.841759204864502,7464"
7465,"-0.36758583784103394,5.753939151763916,7.841759204864502,7465"
7466,"-0.36758583784103394,5.753939151763916,7.841759204864502,7466"
7467,"-0.36758583784103394,5.753939151763916,7.841759204864502,7467"
7468,"-0.36758583784103394,5.753939151763916,7.841759204864502,7468"
7469,"-0.36758583784103394,5.753939151763916,7.841759204864502,7469"
7470,"-0.36758583784103394,5.753939151763916,7.841759204864502,7470"
7471,"-0.36758583784103394,5.753939151763916,7.841759204864502,7471"
7472,"-0.36758583784103394,5.753939151763916,7.841759204864502,7472"
7473,"-0.36758583784103394,5.753939151763916,7.841759204864502,7473"
7474,"-0.36758583784103394,5.753939151763916,7.841759204864502,7474"
7475,"-0.36758583784103394,5.753939151763916,7.841759204864502,7475"
7476,"-0.36758583784103394,5.753939151763916,7.841759204864502,7476"
7477,"-0.36758583784103394,5.753939151763916,7.841759204864502,7477"
7478,"-0.36758583784103394,5.753939151763916,7.841759204864502,7478"
7479,"-0.36758583784103394,5.753939151763916,7.841759204864502,7479"
7480,"-0.36758583784103394,5.753939151763916,7.841759204864502,7480"
7481,"-0.36758583784103394,5.753939151763916,7.841759204864502,7481"
7482,"-0.36758583784103394,5.753939151763916,7.841759204864502,7482"
7483,"-0.36758583784103394,5.753939151763916,7.841759204864502,7483"
7484,"-0.36758583784103394,5.753939151763916,7.841759204864502,7484"
7485,"-0.36758583784103394,5.753939151763916,7.841759204864502,7485"
7486,"-0.36758583784103394,5.753939151763916,7.841759204864502,7486"
7487,"-0.36758583784103394,5.753939151763916,7.841759204864502,7487"
7488,"-0.36758583784103394,5.753939151763916,7.841759204864502,7488"
7489,"-0.36758583784103394,5.753939151763916,7.841759204864502,7489"
7490,"-0.36758583784103394,5.753939151763916,7.841759204864502,7490"
7491,"-0.36758583784103394,5.753939151763916,7.841759204864502,7491"
7492,"-0.36758583784103394,5.753939151763916,7.841759204864502,7492"
7493,"-0.36758583784103394,5.753939151763916,7.841759204864502,7493"
7494,"-0.36758583784103394,5.753939151763916,7.841759204864502,7494"
7495,"-0.36758583784103394,5.753939151763916,7.841759204864502,7495"
7496,"-0.36758583784103394,5.753939151763916,7.841759204864502,7496"
7497,"-0.36758583784103394,5.753939151763916,7.841759204864502,7497"
7498,"-0.36758583784103394,5.753939151763916,7.841759204864502,7498"
7499,"-0.36758583784103394,5.753939151763916,7.841759204864502,7499"
7500,"-0.36758583784103394,5.753939151763916,7.841759204864502,7500"
7501,"-0.36758583784103394,5.753939151763916,7.841759204864502,7501"
7502,"-0.36758583784103394,5.753939151763916,7.841759204864502,7502"
7503,"-0.36758583784103394,5.753939151763916,7.841759204864502,7503"
7504,"-0.36758583784103394,5.753939151763916,7.841759204864502,7504"
7505,"-0.36758583784103394,5.753939151763916,7.841759204864502,7505"
7506,"-0.36758583784103394,5.753939151763916,7.841759204864502,7506"
7507,"-0.36758583784103394,5.753939151763916,7.841759204864502,7507"
7508,"-0.36758583784103394,5.753939151763916,7.841759204864502,7508"
7509,"-0.36758583784103394,5.753939151763916,7.841759204864502,7509"
7510,"-0.36758583784103394,5.753939151763916,7.841759204864502,7510"
7511,"-0.36758583784103394,5.753939151763916,7.841759204864502,7511"
7512,"-0.36758583784103394,5.753939151763916,7.841759204864502,7512"
7513,"-0.36758583784103394,5.753939151763916,7.841759204864502,7513"
7514,"-0.36758583784103394,5.753939151763916,7.841759204864502,7514"
7515,"-0.36758583784103394,5.753939151763916,7.841759204864502,7515"
7516,"-0.36758583784103394,5.753939151763916,7.841759204864502,7516"
7517,"-0.36758583784103394,5.753939151763916,7.841759204864502,7517"
7518,"-0.36758583784103394,5.753939151763916,7.841759204864502,7518"
7519,"-0.36758583784103394,5.753939151763916,7.841759204864502,7519"
7520,"-0.36758583784103394,5.753939151763916,7.841759204864502,7520"
7521,"-0.36758583784103394,5.753939151763916,7.841759204864502,7521"
7522,"-0.36758583784103394,5.753939151763916,7.841759204864502,7522"
7523,"-0.36758583784103394,5.753939151763916,7.841759204864502,7523"
7524,"-0.36758583784103394,5.753939151763916,7.841759204864502,7524"
7525,"-0.36758583784103394,5.753939151763916,7.841759204864502,7525"
7526,"-0.36758583784103394,5.753939151763916,7.841759204864502,7526"
7527,"-0.36758583784103394,5.753939151763916,7.841759204864502,7527"
7528,"-0.36758583784103394,5.753939151763916,7.841759204864502,7528"
7529,"-0.36758583784103394,5.753939151763916,7.841759204864502,7529"
7530,"-0.36758583784103394,5.753939151763916,7.841759204864502,7530"
7531,"-0.36758583784103394,5.753939151763916,7.841759204864502,7531"
7532,"-0.36758583784103394,5.753939151763916,7.841759204864502,7532"
7533,"-0.36758583784103394,5.753939151763916,7.841759204864502,7533"
7534,"-0.36758583784103394,5.753939151763916,7.841759204864502,7534"
7535,"-0.36758583784103394,5.753939151763916,7.841759204864502,7535"
7536,"-0.36758583784103394,5.753939151763916,7.841759204864502,7536"
7537,"-0.36758583784103394,5.753939151763916,7.841759204864502,7537"
7538,"-0.36758583784103394,5.753939151763916,7.841759204864502,7538"
7539,"-0.36758583784103394,5.753939151763916,7.841759204864502,7539"
7540,"-0.36758583784103394,5.753939151763916,7.841759204864502,7540"
7541,"-0.36758583784103394,5.753939151763916,7.841759204864502,7541"
7542,"-0.36758583784103394,5.753939151763916,7.841759204864502,7542"
7543,"-0.36758583784103394,5.753939151763916,7.841759204864502,7543"
7544,"-0.36758583784103394,5.753939151763916,7.841759204864502,7544"
7545,"-0.36758583784103394,5.753939151763916,7.841759204864502,7545"
7546,"-0.36758583784103394,5.753939151763916,7.841759204864502,7546"
7547,"-0.36758583784103394,5.753939151763916,7.841759204864502,7547"
7548,"-0.36758583784103394,5.753939151763916,7.841759204864502,7548"
7549,"-0.36758583784103394,5.753939151763916,7.841759204864502,7549"
7550,"-0.36758583784103394,5.753939151763916,7.841759204864502,7550"
7551,"-0.36758583784103394,5.753939151763916,7.841759204864502,7551"
7552,"-0.36758583784103394,5.753939151763916,7.841759204864502,7552"
7553,"-0.36758583784103394,5.753939151763916,7.841759204864502,7553"
7554,"-0.36758583784103394,5.753939151763916,7.841759204864502,7554"
7555,"-0.36758583784103394,5.753939151763916,7.841759204864502,7555"
7556,"-0.36758583784103394,5.753939151763916,7.841759204864502,7556"
7557,"-0.36758583784103394,5.753939151763916,7.841759204864502,7557"
7558,"-0.36758583784103394,5.753939151763916,7.841759204864502,7558"
7559,"-0.36758583784103394,5.753939151763916,7.841759204864502,7559"
7560,"-0.36758583784103394,5.753939151763916,7.841759204864502,7560"
7561,"-0.36758583784103394,5.753939151763916,7.841759204864502,7561"
7562,"-0.36758583784103394,5.753939151763916,7.841759204864502,7562"
7563,"-0.36758583784103394,5.753939151763916,7.841759204864502,7563"
7564,"-0.36758583784103394,5.753939151763916,7.841759204864502,7564"
7565,"-0.36758583784103394,5.753939151763916,7.841759204864502,7565"
7566,"-0.36758583784103394,5.753939151763916,7.841759204864502,7566"
7567,"-0.36758583784103394,5.753939151763916,7.841759204864502,7567"
7568,"-0.36758583784103394,5.753939151763916,7.841759204864502,7568"
7569,"-0.36758583784103394,5.753939151763916,7.841759204864502,7569"
7570,"-0.36758583784103394,5.753939151763916,7.841759204864502,7570"
7571,"-0.36758583784103394,5.753939151763916,7.841759204864502,7571"
7572,"-0.36758583784103394,5.753939151763916,7.841759204864502,7572"
7573,"-0.36758583784103394,5.753939151763916,7.841759204864502,7573"
7574,"-0.36758583784103394,5.753939151763916,7.841759204864502,7574"
7575,"-0.36758583784103394,5.753939151763916,7.841759204864502,7575"
7576,"-0.36758583784103394,5.753939151763916,7.841759204864502,7576"
7577,"-0.36758583784103394,5.753939151763916,7.841759204864502,7577"
7578,"-0.36758583784103394,5.753939151763916,7.841759204864502,7578"
7579,"-0.36758583784103394,5.753939151763916,7.841759204864502,7579"
7580,"-0.36758583784103394,5.753939151763916,7.841759204864502,7580"
7581,"-0.36758583784103394,5.753939151763916,7.841759204864502,7581"
7582,"-0.36758583784103394,5.753939151763916,7.841759204864502,7582"
7583,"-0.36758583784103394,5.753939151763916,7.841759204864502,7583"
7584,"-0.36758583784103394,5.753939151763916,7.841759204864502,7584"
7585,"-0.36758583784103394,5.753939151763916,7.841759204864502,7585"
7586,"-0.36758583784103394,5.753939151763916,7.841759204864502,7586"
7587,"-0.36758583784103394,5.753939151763916,7.841759204864502,7587"
7588,"-0.36758583784103394,5.753939151763916,7.841759204864502,7588"
7589,"-0.36758583784103394,5.753939151763916,7.841759204864502,7589"
7590,"-0.36758583784103394,5.753939151763916,7.841759204864502,7590"
7591,"-0.36758583784103394,5.753939151763916,7.841759204864502,7591"
7592,"-0.36758583784103394,5.753939151763916,7.841759204864502,7592"
7593,"-0.36758583784103394,5.753939151763916,7.841759204864502,7593"
7594,"-0.36758583784103394,5.753939151763916,7.841759204864502,7594"
7595,"-0.36758583784103394,5.753939151763916,7.841759204864502,7595"
7596,"-0.36758583784103394,5.753939151763916,7.841759204864502,7596"
7597,"-0.36758583784103394,5.753939151763916,7.841759204864502,7597"
7598,"-0.36758583784103394,5.753939151763916,7.841759204864502,7598"
7599,"-0.36758583784103394,5.753939151763916,7.841759204864502,7599"
7600,"-0.36758583784103394,5.753939151763916,7.841759204864502,7600"
7601,"-0.36758583784103394,5.753939151763916,7.841759204864502,7601"
7602,"-0.36758583784103394,5.753939151763916,7.841759204864502,7602"
7603,"-0.36758583784103394,5.753939151763916,7.841759204864502,7603"
7604,"-0.36758583784103394,5.753939151763916,7.841759204864502,7604"
7605,"-0.36758583784103394,5.753939151763916,7.841759204864502,7605"
7606,"-0.36758583784103394,5.753939151763916,7.841759204864502,7606"
7607,"-0.36758583784103394,5.753939151763916,7.841759204864502,7607"
7608,"-0.36758583784103394,5.753939151763916,7.841759204864502,7608"
7609,"-0.36758583784103394,5.753939151763916,7.841759204864502,7609"
